月,気温
2009/1/1,3.7
2009/2/1,4.2
2009/3/1,6.3
2009/4/1,11.8
2009/5/1,17.6
2009/6/1,21.4
2009/7/1,23.7
2009/8/1,24.9
2009/9/1,21.6
2009/10/1,16.7
2009/11/1,11.5
2009/12/1,5.7
2010/1/1,3.4
2010/2/1,2.9
2010/3/1,5.6
2010/4/1,9.7
2010/5/1,15.7
2010/6/1,21.6
2010/7/1,26.3
2010/8/1,29
2010/9/1,23.7
2010/10/1,17.6
2010/11/1,10.8
2010/12/1,6.7
2011/1/1,1.3
2011/2/1,3.7
2011/3/1,4.2
2011/4/1,10.2
2011/5/1,16.3
2011/6/1,21.2
2011/7/1,26.5
2011/8/1,27
2011/9/1,23.7
2011/10/1,16.7
2011/11/1,11.8
2011/12/1,4.4
2012/1/1,1.6
2012/2/1,1
2012/3/1,5.3
2012/4/1,11.2
2012/5/1,16.3
2012/6/1,20.6
2012/7/1,25.4
2012/8/1,27.9
2012/9/1,25.2
2012/10/1,17.3
2012/11/1,9.9
2012/12/1,3.9
2013/1/1,1.8
2013/2/1,1.5
2013/3/1,6
2013/4/1,10.1
2013/5/1,16.3
2013/6/1,22.1
2013/7/1,25.1
2013/8/1,26.9
2013/9/1,22.9
2013/10/1,18.3
2013/11/1,9.8
2013/12/1,5.2
2014/1/1,2.5
2014/2/1,2.5
2014/3/1,6.1
2014/4/1,11.1
2014/5/1,17.1
2014/6/1,22
2014/7/1,24.9
2014/8/1,26.1
2014/9/1,21.6
2014/10/1,16
2014/11/1,11.1
2014/12/1,3.4
2015/1/1,3.1
2015/2/1,3.9
2015/3/1,7
2015/4/1,12.1
2015/5/1,18.6
2015/6/1,21.2
2015/7/1,25.2
2015/8/1,25.8
2015/9/1,21.1
2015/10/1,15.8
2015/11/1,12.1
2015/12/1,7
2016/1/1,3.1
2016/2/1,3.6
2016/3/1,6.9
2016/4/1,12.4
2016/5/1,18.4
2016/6/1,21.4
2016/7/1,24.6
2016/8/1,27
2016/9/1,23.4
2016/10/1,16.4
2016/11/1,9.9
2016/12/1,6.4
2017/1/1,3.1
2017/2/1,3.3
2017/3/1,6.1
2017/4/1,11.6
2017/5/1,17.7
2017/6/1,19
2017/7/1,25.9
2017/8/1,26.2
2017/9/1,21.7
2017/10/1,16.4
2017/11/1,9.1
2017/12/1,3.9
2018/1/1,1.7
2018/2/1,1.4
2018/3/1,7.5
2018/4/1,12.7
2018/5/1,17
2018/6/1,21.1
2018/7/1,27.4
2018/8/1,26.6
2018/9/1,21.8
2018/10/1,17.2
2018/11/1,11.6
