年,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2009,3.7,4.2,6.3,11.8,17.6,21.4,23.7,24.9,21.6,16.7,11.5,5.7
2010,3.4,2.9,5.6,9.7,15.7,21.6,26.3,29,23.7,17.6,10.8,6.7
2011,1.3,3.7,4.2,10.2,16.3,21.2,26.5,27,23.7,16.7,11.8,4.4
2012,1.6,1,5.3,11.2,16.3,20.6,25.4,27.9,25.2,17.3,9.9,3.9
2013,1.8,1.5,6,10.1,16.3,22.1,25.1,26.9,22.9,18.3,9.8,5.2
2014,2.5,2.5,6.1,11.1,17.1,22,24.9,26.1,21.6,16,11.1,3.4
2015,3.1,3.9,7,12.1,18.6,21.2,25.2,25.8,21.1,15.8,12.1,7
2016,3.1,3.6,6.9,12.4,18.4,21.4,24.6,27,23.4,16.4,9.9,6.4
2017,3.1,3.3,6.1,11.6,17.7,19,25.9,26.2,21.7,16.4,9.1,3.9
2018,1.7,1.4,7.5,12.7,17,21.1,27.4,26.6,21.8,17.2,11.6,
